MOVIES,YEAR,GENRE,RATING,VOTES,RunTime
Blood Red Sky,-2021,"
Action, Horror, Thriller            ",6.1,"21,062",121.0
Masters of the Universe: Revelation,(2021– ),"
Animation, Action, Adventure            ",5.0,"17,870",25.0
The Walking Dead,(2010–2022),"
Drama, Horror, Thriller            ",8.2,"885,805",44.0
Rick and Morty,(2013– ),"
Animation, Adventure, Comedy            ",9.2,"414,849",23.0
Outer Banks,(2020– ),"
Action, Crime, Drama            ",7.6,"25,858",50.0
The Last Letter from Your Lover,-2021,"
Drama, Romance            ",6.8,"5,283",110.0
Dexter,(2006–2013),"
Crime, Drama, Mystery            ",8.6,"665,387",53.0
Never Have I Ever,(2020– ),"
Comedy            ",7.9,"34,530",30.0
Virgin River,(2019– ),"
Drama, Romance            ",7.4,"27,279",44.0
Gunpowder Milkshake,-2021,"
Action, Adventure, Thriller            ",6.0,"17,989",114.0
Lucifer,(2016–2021),"
Crime, Drama, Fantasy            ",8.1,"264,222",42.0
Fear Street: 1994,-2021,"
Drama, Horror, Mystery            ",6.2,"50,148",107.0
American Horror Story,(2011– ),"
Drama, Horror, Thriller            ",8.0,"286,488",60.0
Grey's Anatomy,(2005– ),"
Drama, Romance            ",7.5,"266,258",41.0
Breaking Bad,(2008–2013),"
Crime, Drama, Thriller            ",9.4,"1,552,311",49.0
The Good Doctor,(2017– ),"
Drama            ",8.1,"70,871",41.0
Atypical,(2017–2021),"
Comedy, Drama            ",8.3,"71,544",30.0
Stranger Things,(2016– ),"
Drama, Fantasy, Horror            ",8.7,"885,856",51.0
Fear Street: 1978,-2021,"
Drama, Horror, Mystery            ",6.8,"36,634",109.0
Friends,(1994–2004),"
Comedy, Romance            ",8.9,"880,918",22.0
The Flash,(2014– ),"
Action, Adventure, Drama            ",7.6,"320,264",43.0
Peaky Blinders,(2013– ),"
Crime, Drama            ",8.8,"393,414",60.0
Chernobyl,-2021,"
Drama, History, Romance            ",5.0,"4,681",136.0
Vikings,(2013–2020),"
Action, Adventure, Drama            ",8.5,"459,913",44.0
Better Call Saul,(2015– ),"
Crime, Drama            ",8.8,"347,857",46.0
Supernatural,(2005–2020),"
Drama, Fantasy, Horror            ",8.4,"404,273",44.0
The Blacklist,(2013– ),"
Crime, Drama, Mystery            ",8.0,"213,522",43.0
Fear Street: 1666,-2021,"
Horror, Mystery            ",6.7,"27,447",114.0
Animal Kingdom,(2016– ),"
Crime, Drama            ",8.2,"26,926",60.0
Brooklyn Nine-Nine,(2013–2022),"
Comedy, Crime            ",8.4,"248,583",22.0
NCIS: Naval Criminal Investigative Service,(2003– ),"
Action, Crime, Drama            ",7.7,"125,619",60.0
Kingdom,(2019– ),"
Action, Drama, History            ",8.4,"34,906",45.0
Modern Family,(2009–2020),"
Comedy, Drama, Romance            ",8.4,"378,030",22.0
Titans,(I) (2018– ),"
Action, Adventure, Crime            ",7.7,"73,656",45.0
The Witcher,(2019– ),"
Action, Adventure, Fantasy            ",8.2,"336,484",60.0
Downton Abbey,(2010–2015),"
Drama, Romance            ",8.7,"171,804",58.0
Shingeki no kyojin,(2013–2022),"
Animation, Action, Adventure            ",9.0,"242,582",24.0
Suits,(2011–2019),"
Comedy, Drama            ",8.4,"374,263",44.0
La casa de papel,(2017–2021),"
Action, Crime, Mystery            ",8.3,"341,858",70.0
Schitt's Creek,(2015–2020),"
Comedy            ",8.5,"90,728",22.0
Outlander,(2014– ),"
Drama, Fantasy, Romance            ",8.4,"134,991",64.0
The Last Kingdom,(2015– ),"
Action, Drama, History            ",8.4,"94,650",60.0
Black Mirror,(2011– ),"
Drama, Sci-Fi, Thriller            ",8.8,"469,407",60.0
Ozark,(2017– ),"
Crime, Drama, Thriller            ",8.4,"206,090",60.0
The Crown,(2016– ),"
Biography, Drama, History            ",8.6,"169,517",58.0
Army of the Dead,-2021,"
Action, Crime, Horror            ",5.8,"132,378",148.0
Fargo,(2014– ),"
Crime, Drama, Thriller            ",8.9,"341,221",53.0
How I Met Your Mother,(2005–2014),"
Comedy, Romance            ",8.3,"624,036",22.0
Community,(2009–2015),"
Comedy            ",8.5,"231,013",22.0
Sons of Anarchy,(2008–2014),"
Crime, Drama, Thriller            ",8.5,"270,445",45.0
StartUp,(2016–2018),"
Crime, Thriller            ",7.9,"22,971",44.0
The Vampire Diaries,(2009–2017),"
Drama, Fantasy, Horror            ",7.7,"293,434",43.0
365 dni,-2020,"
Drama, Romance            ",3.3,"63,620",114.0
How to Sell Drugs Online (Fast),(2019– ),"
Comedy, Crime, Drama            ",7.9,"23,960",30.0
Good Girls,(2018–2021),"
Comedy, Crime, Drama            ",7.8,"38,618",43.0
13 Reasons Why,(2017–2020),"
Drama, Mystery, Thriller            ",7.6,"266,386",60.0
The Queen's Gambit,-2020,"
Drama            ",8.6,"336,801",395.0
Legends of Tomorrow,(2016– ),"
Action, Adventure, Drama            ",6.8,"95,897",42.0
Star Trek: The Next Generation,(1987–1994),"
Action, Adventure, Mystery            ",8.6,"106,181",44.0
Le dernier mercenaire,-2021,"
Action, Comedy            ",5.4,"2,606",110.0
Resort to Love,-2021,"
Comedy, Romance            ",5.7,"1,591",101.0
Evil,(2019– ),"
Crime, Drama, Horror            ",7.7,"15,048",42.0
The Expanse,(2015– ),"
Drama, Mystery, Sci-Fi            ",8.5,"119,644",60.0
New Amsterdam,(2018– ),"
Drama            ",8.1,"27,709",43.0
Line of Duty,(2012– ),"
Crime, Drama, Mystery            ",8.7,"46,751",60.0
The 100,(2014–2020),"
Drama, Mystery, Sci-Fi            ",7.6,"226,962",43.0
New Girl,(2011–2018),"
Comedy            ",7.7,"200,421",22.0
Prison Break,(2005–2017),"
Action, Crime, Drama            ",8.3,"492,438",44.0
Sex Education,(2019– ),"
Comedy, Drama            ",8.3,"177,274",45.0
A Classic Horror Story,-2021,"
Drama, Horror, Mystery            ",5.7,"8,822",95.0
Feels Like Ishq,(2021– ),"
Comedy, Drama, Romance            ",6.6,848,32.0
